hole 1 tee golden: 298 visible objects in 219 kinds; renderer 295 draws, 33.8 M tris
  objects  instances   tris  type|tag|material|name|parent|inst|tris-each|cast|matrixAuto
       1         1      892  Mesh||MeshStandardMaterial|maintenance-long-material-06|maintenance-long||892|cast|auto
       1         1      216  Mesh||MeshStandardMaterial|maintenance-long-material-07|maintenance-long||216|cast|auto
       1         1      132  Mesh||MeshStandardMaterial|maintenance-small-material-00|maintenance-small||132|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|maintenance-small-material-01|maintenance-small||24|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|maintenance-small-material-02|maintenance-small||12|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|maintenance-small-material-03|maintenance-small||12|cast|auto
       1         1      192  Mesh||MeshStandardMaterial|maintenance-small-material-04|maintenance-small||192|cast|auto
       1         1       16  Mesh||MeshStandardMaterial|maintenance-small-material-05|maintenance-small||16|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|maintenance-small-material-06|maintenance-small||12|cast|auto
       1         1      112  Mesh||MeshStandardMaterial|maintenance-small-material-07|maintenance-small||112|cast|auto
       1         1      180  Mesh||MeshStandardMaterial|maintenance-small-material-08|maintenance-small||180|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|north-courtyard-building-material-00|north-courtyard-building||24|cast|auto
       1         1       72  Mesh||MeshStandardMaterial|north-courtyard-building-material-01|north-courtyard-building||72|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|north-courtyard-building-material-02|north-courtyard-building||12|cast|auto
       1         1       14  Mesh||MeshStandardMaterial|north-courtyard-building-material-03|north-courtyard-building||14|cast|auto
       1         1      140  Mesh||MeshStandardMaterial|north-courtyard-building-material-04|north-courtyard-building||140|cast|auto
       1         1      180  Mesh||MeshStandardMaterial|north-courtyard-building-material-05|north-courtyard-building||180|cast|auto
       1         1      456  Mesh||MeshStandardMaterial|north-courtyard-building-material-06|north-courtyard-building||456|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|range-east-hut-material-00|range-east-hut||24|cast|auto
