hole,tee,cardMetres,latitude,longitude,eastingEpsg3006,northingEpsg3006,coordinateBasis,reviewStatus,sourceCapturedAt,sourceKey,platformId,sourcePadId,platformBoundaryReviewed,insideAnyMappedPlatform,legacyX,legacyZ,sourcePixelAgreementMetres,serializedPositionErrorMetres,bootNormalizationErrorMetres,legacyToRuntimeBridgeResidualMetres,publishedRoutingStartErrorMetres,decorativeMarkerCount,decorativeMarkerMinimumEdgeClearanceMetres
13,tee-41,300,63.2988011498,18.9451384968,697692.921,7024965.196,unreviewed-legacy-reference-projected,unreviewed-outside-mapped-platforms,,,,,false,false,192,44.4,,0,0,0.007141,,0,
14,tee-61,466,63.3001791567,18.9415878891,697505.728,7025107.573,reviewed-orthophoto-pixel,visible-interior-anchor,2022-07-03T07:37:52Z;2022-06-24T11:30:54Z;2022-07-03T07:37:35Z;2022-06-24T11:31:13Z,tee-2022-hole-14,,,false,true,14.400090407246761,-108.99972114021296,0,0,0,0.001029,0.0008,2,0.276064
14,tee-57,465,63.3001710785,18.9415778987,697505.283,7025106.643,reviewed-orthophoto-pixel,visible-interior-anchor,2022-07-03T07:37:52Z;2022-06-24T11:30:54Z;2022-07-03T07:37:35Z;2022-06-24T11:31:13Z,tee-2022-hole-14,,,false,true,13.900376824089355,-108.10045823806973,0,0,0,0.001017,,2,1.296746
14,tee-48,405,63.2992894515,18.9403609928,697450.4,7025004.8,reviewed-orthophoto-pixel,visible-interior-anchor,2024-06-27T15:07:43Z;2024-06-27T15:19:09Z;2024-06-27T15:08:07Z;2024-06-27T15:18:53Z,hole-14-tees,,,false,false,-46.96874812158324,-9.957742748925966,0,0,0,0.001211,,0,
14,tee-41,330,63.2991128638,18.9402624063,697446.674,7024984.848,unreviewed-legacy-reference-projected,unreviewed-outside-mapped-platforms,,,,,false,false,-51.9,9.7,,0,0,0.001287,,0,
15,tee-61,180,63.2958955885,18.9385483424,697382.88,7024621.6,reviewed-orthophoto-pixel,visible-interior-anchor,2022-07-03T07:37:52Z,tee-2022-hole-15,,,false,true,-137.63675731857793,367.847083253435,0,0,0,0.016601,0.001,2,2.54903
15,tee-57,165,63.2958304288,18.9384991077,697380.861,7024614.198,reviewed-orthophoto-pixel,visible-interior-anchor,2022-07-03T07:37:52Z,tee-2022-hole-15,,,false,true,-140.09945769885093,375.1006698198796,0,0,0,0.017223,,2,0.937017
15,tee-48,135,63.2954881782,18.9380352785,697359.979,7024574.69,unreviewed-legacy-reference-projected,unreviewed-outside-mapped-platforms,,,,,false,false,-163.3,413.2,,0,0,0.022088,,0,
15,tee-41,135,63.2954881782,18.9380352785,697359.979,7024574.69,unreviewed-legacy-reference-projected,unreviewed-outside-mapped-platforms,,,,,false,false,-163.3,413.2,,0,0,0.022088,,0,
16,tee-61,289,63.2943320517,18.9402524102,697478.905,7024452.883,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:07:43Z;2024-06-27T15:19:09Z,hole-16-tees,h16-tee-pad-00-lm2024,h16-tee-pad-00-lm2024,true,true,-52.39999962234469,541.8999994726045,0,0,0,0.009682,0.000738,2,0.199644
