hole,tee,teeIndex,cardMetres,localX,localZ,longitude,latitude,eastingEPSG3006,northingEPSG3006,previousLocalX,previousLocalZ,changeMetres,association,sourceReviewId,sourcePadId,associatedPadBoundaryProvenance,associatedPadRetainedHistorical,associatedPadBoundaryClearanceMetres,containingPadIds,insideSourceTracedPad,projectionRoundtripMetres,dailyMarkerVerified
5,48,4,399,-300.93470873947985,75.54969744514516,18.667486728593367,63.28382132862518,683886.8756476151,7022471.908150027,-300.93470873947985,75.54969744514516,0.0,provisional-platform,lm-2024-h05-tee-inventory,lm-2024-h05-middle-deck,reviewed-lm-orthophoto,False,0.4331756435039368,"[""lm-2024-h05-middle-deck""]",True,1.581952346896287e-09,False
5,40,5,285,-293.9,-39.5,18.667627296004465,63.28485483291412,683887.3325546223,7022587.325370703,-293.9,-39.5,0.0,unresolved,,,,False,,[],False,1.591912246734125e-09,False
6,65,0,417,-286.99781911111535,-409.65289326599674,18.667765215246668,63.28817995771888,683873.0534058751,7022957.759099186,-275.5330927661278,-404.91968550281484,12.40335462263723,provisional-platform,lm-2024-h06-tee-inventory,osm-w1527513658-retained-shadow,osm,True,0.5235463031407221,"[""osm-w1527513658-retained-shadow""]",False,8.107124523615548e-10,False
6,61,1,389,-287.5978919497161,-412.7499484158172,18.66775322460306,63.28820777891139,683872.2754933223,7022960.820801861,-277.96909586595257,-411.1810750201754,9.755771509944882,provisional-platform,lm-2024-h06-tee-inventory,osm-w1527513658-retained-shadow,osm,True,0.7378178437459344,"[""osm-w1527513658-retained-shadow""]",False,0.0,False
6,58,2,358,-281.46468702500886,-442.62015306239397,18.667875778182736,63.28847610629772,683876.704430693,7022991.0332695,-281.46468702500886,-442.62015306239397,0.0,provisional-platform,lm-2024-h06-tee-inventory,lm-2024-h06-middle-deck,reviewed-lm-orthophoto,False,0.2079510811522858,"[""lm-2024-h06-middle-deck""]",True,1.581952346896287e-09,False
6,55,3,354,-281.46468702500886,-442.62015306239397,18.667875778182736,63.28847610629772,683876.704430693,7022991.0332695,-281.46468702500886,-442.62015306239397,0.0,provisional-platform,lm-2024-h06-tee-inventory,lm-2024-h06-middle-deck,reviewed-lm-orthophoto,False,0.2079510811522858,"[""lm-2024-h06-middle-deck""]",True,1.581952346896287e-09,False
6,48,4,306,-284.89490143367533,-507.30328617147967,18.667807235706167,63.28905716211078,683869.5683384364,7023055.499752893,-284.89490143367533,-507.30328617147967,0.0,provisional-platform,lm-2024-h06-tee-inventory,lm-2024-h06-forward-deck,reviewed-lm-orthophoto,False,0.37935166280843,"[""lm-2024-h06-forward-deck""]",True,0.0,False
6,40,5,249,-327.9,-546,18.666947908675958,63.28940477901545,683824.3101576874,7023091.720017115,-327.9,-546,0.0,unresolved,,,,False,,[],False,1.581952346896287e-09,False
7,65,0,158,-528.9,-753.1,18.662931530645665,63.29126518145886,683611.2929624151,7023287.245648743,-528.9,-753.1,0.0,provisional-platform,lm-2024-h07-tee-associations,lm-2024-h07-rear-platform-historical,dtm,True,3.7400000000000313,"[""lm-2024-h07-rear-platform-historical""]",False,0.0,False
7,61,1,150,-524.8,-760,18.66301345676469,63.29132716492993,683615.0018447088,7023294.378195415,-524.8,-760,0.0,provisional-platform,lm-2024-h07-tee-associations,lm-2024-h07-rear-platform-historical,dtm,True,3.3289588782552957,"[""lm-2024-h07-rear-platform-historical""]",False,8.107124523615548e-10,False
7,58,2,142,-520.6,-766.8,18.66309738108174,63.29138825008983,683618.8165076609,7023301.416500909,-520.6,-766.8,0.0,provisional-platform,lm-2024-h07-tee-associations,lm-2024-h07-rear-platform-historical,dtm,True,2.2022343348457882,"[""lm-2024-h07-rear-platform-historical""]",False,7.909761734481435e-10,False
7,55,3,130,-514.4,-777.1,18.663221269359294,63.29148077614086,683624.4326692171,7023312.068213638,-514.4,-777.1,0.0,provisional-platform,lm-2024-h07-tee-associations,lm-2024-h07-rear-platform-historical,dtm,True,0.06643638388295965,"[""lm-2024-h07-rear-platform-historical""]",False,0.0,False
7,48,4,90,-487.994010202182,-806.2554773213242,18.663748913325918,63.29174268305176,683649.1929162857,7023342.726278862,-493.8,-811.4,7.757295348494645,provisional-platform,lm-2024-h07-tee-associations,lm-2024-h07-forward-platform,reviewed-lm-orthophoto,False,0.7490892291396324,"[""lm-2024-h07-forward-platform""]",True,8.107124523615548e-10,False
7,40,5,90,-487.994010202182,-806.2554773213242,18.663748913325918,63.29174268305176,683649.1929162857,7023342.726278862,-493.8,-811.4,7.757295348494645,provisional-platform,lm-2024-h07-tee-associations,lm-2024-h07-forward-platform,reviewed-lm-orthophoto,False,0.7490892291396324,"[""lm-2024-h07-forward-platform""]",True,8.107124523615548e-10,False
8,65,0,365,-481.26468157733086,-1084.529972962374,18.6638833786376,63.29424245394325,683640.0144491507,7023621.300588815,-474.8,-1089.9,8.404123885398,provisional-platform,lm-2024-h08-tee-associations,lm-2024-h08-tee-2,reviewed-lm-orthophoto,False,0.4968991441572786,"[""lm-2024-h08-tee-2""]",True,7.909761734481435e-10,False
8,61,1,360,-478.98874693785103,-1081.0439190886752,18.663928856318616,63.29421113833173,683642.4913682116,7023617.945890044,-471.8,-1085.9,8.675229354535594,provisional-platform,lm-2024-h08-tee-associations,lm-2024-h08-tee-2,reviewed-lm-orthophoto,False,0.696163254970266,"[""lm-2024-h08-tee-2""]",True,1.591912246734125e-09,False
8,58,2,322,-451.1585123005775,-1053.3222017352502,18.664484959517495,63.29396211104685,683671.9270949047,7023591.825957292,-448.7,-1055.7,3.4202642178548355,provisional-platform,lm-2024-h08-tee-associations,lm-2024-h08-tee-1,reviewed-lm-orthophoto,False,0.42481395920434156,"[""lm-2024-h08-tee-1""]",True,1.581952346896287e-09,False
8,55,3,312,-446.3382121324501,-1046.0372260688796,18.664581278660254,63.293896669296345,683677.1675658985,7023584.819206699,-442.6,-1047.8,4.132989460358515,provisional-platform,lm-2024-h08-tee-associations,lm-2024-h08-tee-1,reviewed-lm-orthophoto,False,0.4462888372522964,"[""lm-2024-h08-tee-1""]",True,7.909761734481435e-10,False
8,48,4,254,-402.69121512431394,-1004.3259854411253,18.665453432092452,63.293521972560555,683723.2325984387,7023545.620152189,-407.4,-1001.7,5.391516905518479,provisional-platform,lm-2024-h08-tee-associations,lm-2024-h08-tee-3,reviewed-lm-orthophoto,False,0.694872665638019,"[""lm-2024-h08-tee-3""]",True,0.0,False
8,40,5,254,-402.69121512431394,-1004.3259854411253,18.665453432092452,63.293521972560555,683723.2325984387,7023545.620152189,-407.4,-1001.7,5.391516905518479,provisional-platform,lm-2024-h08-tee-associations,lm-2024-h08-tee-3,reviewed-lm-orthophoto,False,0.694872665638019,"[""lm-2024-h08-tee-3""]",True,0.0,False
9,65,0,404,-163.08631410961246,-792.8375504820782,18.670241212492382,63.291622148315504,683975.1293169204,7023347.928675201,-157.7,-800.3,9.203289221519718,provisional-platform,lm-2024-h09-tee-associations,lm-2024-h09-tee-2,reviewed-lm-orthophoto,False,0.28131057813261656,"[""lm-2024-h09-tee-2""]",True,8.107124523615548e-10,False
9,61,1,385,-147.61260349129319,-784.1338723245635,18.670550407872355,63.291543962201985,683991.1140648702,7023340.115126649,-144.4,-786.7,4.111670273612703,provisional-platform,lm-2024-h09-tee-associations,lm-2024-h09-tee-2,reviewed-lm-orthophoto,False,0.15220972532409488,"[""lm-2024-h09-tee-2""]",True,7.909761734481435e-10,False
9,58,2,327,-104.30748217429682,-744.320303650085,18.671415729951246,63.29118631246542,684036.7354313228,7023302.7979384605,-104,-745.1,0.8381358395756536,provisional-platform,lm-2024-h09-tee-associations,lm-2024-h09-middle-platform-historical,osm,True,0.6073062940799837,"[""lm-2024-h09-middle-platform-historical""]",False,1.581952346896287e-09,False
9,55,3,318,-99.43954261568079,-738.0033111104593,18.671513001023364,63.29112956621551,684041.9693323232,7023296.762179206,-97.7,-738.6,1.8390340243374725,provisional-platform,lm-2024-h09-tee-associations,lm-2024-h09-middle-platform-historical,osm,True,0.4939631980626416,"[""lm-2024-h09-middle-platform-historical""]",False,8.107124523615548e-10,False
9,48,4,265,-60.8,-700.6,18.672285095600788,63.290793568091985,684082.7842854692,7023261.587481714,-60.8,-700.6,0.0,provisional-platform,lm-2024-h09-tee-associations,lm-2024-h09-tee-1,reviewed-lm-orthophoto,False,1.9121111285503223,"[""lm-2024-h09-tee-1""]",True,7.909761734481435e-10,False
9,40,5,199,-14.8,-653.3,18.6732042666923,63.29036866690622,684131.5341331908,7023216.942152962,-14.8,-653.3,0.0,unresolved,,,,False,,[],False,7.909761734481435e-10,False
10,65,0,530,154.6130784825285,-552.248811100327,18.676589475480665,63.28946091278387,684306.8885323752,7023125.650950277,160.8,-556,7.235289629612777,provisional-platform,lm-2024-h10-tee-associations,lm-2024-h10-tee-3,reviewed-lm-orthophoto,False,0.45511879938196903,"[""lm-2024-h10-tee-3""]",True,1.7779587579980215e-10,False
10,61,1,510,146.28080422491058,-569.7521461041366,18.67642298014101,63.289618147198205,684297.5446527728,7023142.670081745,148.6,-571.8,3.0939254389844693,provisional-platform,lm-2024-h10-tee-associations,lm-2024-h10-tee-4,reviewed-lm-orthophoto,False,0.4913867150608464,"[""lm-2024-h10-tee-4""]",True,0.0,False
10,58,2,487,128.28040572924107,-586.8577322808405,18.676063296533773,63.28977180859038,684278.5472178176,7023158.736250616,134.5,-590,6.968299599739448,provisional-platform,lm-2024-h10-tee-associations,lm-2024-h10-tee-1,reviewed-lm-orthophoto,False,0.541687423985847,"[""lm-2024-h10-tee-1""]",True,7.909761734481435e-10,False
